DEBUG | 2023-04-21 02:35:32,866 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:32,946 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:32,947 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:32] "GET /index.html HTTP/1.1" 200 4299 0.080752
DEBUG | 2023-04-21 02:35:32,969 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:32,970 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:32,971 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:32] "GET /style.css HTTP/1.1" 200 11093 0.002000
DEBUG | 2023-04-21 02:35:32,971 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:32,975 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:32,976 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:32] "GET /eel.js HTTP/1.1" 200 6448 0.005013
DEBUG | 2023-04-21 02:35:32,977 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:32,977 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:32,978 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:32] "GET /messages.js HTTP/1.1" 200 2442 0.000999
DEBUG | 2023-04-21 02:35:32,979 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:32,979 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:32,981 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:32] "GET /client.js HTTP/1.1" 200 32222 0.001508
DEBUG | 2023-04-21 02:35:33,017 | MainProcess | MainThread | Initializing WebSocket
DEBUG | 2023-04-21 02:35:33,017 | MainProcess | MainThread | Validating WebSocket request
INFO | 2023-04-21 02:35:33,019 | MainProcess | MainThread | 127.0.0.1 - - [2023-04-21 02:35:33] "GET /imgs/chat_bg.png HTTP/1.1" 200 490838 0.002000
DEBUG | 2023-04-21 02:35:33,384 | MainProcess | MainThread | Initializing WebSocket
